gene	AD.Ex.betweenness	AD.Ex.degree_in	AD.Ex.degree_out	Ctrl.Ex.betweenness	Ctrl.Ex.degree_in	Ctrl.Ex.degree_out	AD.In.betweenness	AD.In.degree_in	AD.In.degree_out	Ctrl.In.betweenness	Ctrl.In.degree_in	Ctrl.In.degree_out	AD.Mic.betweenness	AD.Mic.degree_in	AD.Mic.degree_out	Ctrl.Mic.betweenness	Ctrl.Mic.degree_in	Ctrl.Mic.degree_out	AD.Oli.betweenness	AD.Oli.degree_in	AD.Oli.degree_out	Ctrl.Oli.betweenness	Ctrl.Oli.degree_in	Ctrl.Oli.degree_out
AAGAB	NA	NA	NA	NA	NA	NA	0	54	0	0	54	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAK1	0	62	0	0	74	0	0	44	0	0	44	0	0	47	0	0	47	0	0	61	0	0	59	0
AAR2	0	42	0	0	43	0	0	42	0	0	41	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AASDHPPT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	80	0	0	85	0
ABAT	0	91	0	0	88	0	0	77	0	0	87	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	44	0	0	45	0	0	50	0	0	43	0
ABCA10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	50	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	62	0	0	64	0	NA	NA	NA	NA	NA	NA
ABCA7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	73	0	0	80	0	NA	NA	NA	NA	NA	NA
ABCA8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	29	0	0	42	0	NA	NA	NA	NA	NA	NA
ABCB10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	56	0	0	55	0
ABCC8	0	57	0	0	56	0	0	49	0	0	52	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCD2	0	43	0	0	41	0	0	42	0	0	44	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	62	0	0	60	0	0	90	0	0	96	0
ABHD12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	57	0	0	59	0	0	89	0	0	85	0
ABHD13	NA	NA	NA	NA	NA	NA	0	55	0	0	58	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD17B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	93	0	0	85	0
ABHD2	0	51	0	0	56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD5	NA	NA	NA	NA	NA	NA	0	58	0	0	57	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	45	0	0	42	0	0	50	0	0	50	0
ABHD8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	44	0	0	37	0	NA	NA	NA	NA	NA	NA
ABI1	NA	NA	NA	NA	NA	NA	0	66	0	0	66	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABI3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	51	0	0	53	0	NA	NA	NA	NA	NA	NA
ABLIM1	NA	NA	NA	NA	NA	NA	0	102	0	0	108	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
