gene	AD.Ex.grn.demo.txt.betweenness	AD.Ex.grn.demo.txt.degree_in	AD.Ex.grn.demo.txt.degree_out	Ctrl.Ex.grn.demo.txt.betweenness	Ctrl.Ex.grn.demo.txt.degree_in	Ctrl.Ex.grn.demo.txt.degree_out	AD.In.grn.demo.txt.betweenness	AD.In.grn.demo.txt.degree_in	AD.In.grn.demo.txt.degree_out	Ctrl.In.grn.demo.txt.betweenness	Ctrl.In.grn.demo.txt.degree_in	Ctrl.In.grn.demo.txt.degree_out	AD.Mic.grn.demo.txt.betweenness	AD.Mic.grn.demo.txt.degree_in	AD.Mic.grn.demo.txt.degree_out	Ctrl.Mic.grn.demo.txt.betweenness	Ctrl.Mic.grn.demo.txt.degree_in	Ctrl.Mic.grn.demo.txt.degree_out	AD.Oli.grn.demo.txt.betweenness	AD.Oli.grn.demo.txt.degree_in	AD.Oli.grn.demo.txt.degree_out	Ctrl.Oli.grn.demo.txt.betweenness	Ctrl.Oli.grn.demo.txt.degree_in	Ctrl.Oli.grn.demo.txt.degree_out
ABCA10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	50	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	73	0	0	80	0	NA	NA	NA	NA	NA	NA
ABCA8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	29	0	0	42	0	NA	NA	NA	NA	NA	NA
ABI1	NA	NA	NA	NA	NA	NA	0	66	0	0	66	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACBD6	0	61	0	0	66	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTR1A	0	84	0	0	84	0	0	74	0	0	76	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AHSA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	107	0	0	105	0
AP3S2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	44	0	0	36	0	0	43	0	0	40	0
APPBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	55	0	0	52	0
AR	0	0	6	0	0	7	0	0	6	0	0	6	NA	NA	NA	NA	NA	NA	0	0	10	0	0	12
ARIH2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	64	0	0	68	0
ARL4A	0	65	0	0	67	0	0	65	0	0	66	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARL4C	0	44	0	0	47	0	0	64	0	0	68	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARL6IP5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	64	0	0	67	0
ARNT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0	0	1	NA	NA	NA	NA	NA	NA
ARPC1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	44	0	0	47	0
ARPC5	NA	NA	NA	NA	NA	NA	0	57	0	0	61	0	0	54	0	0	54	0	0	76	0	0	78	0
ASCL1	0	0	6	0	0	8	0	0	9	0	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	8
ATF4	0	0	3	0	0	5	0	0	5	0	0	5	0	0	6	0	0	6	0	0	9	0	0	9
ATP8A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	137	0	0	133	0
BACH2	0	0	9	0	0	9	0	0	13	0	0	12	0	0	18	0	0	15	0	0	12	0	0	13
BATF	0	0	3	0	0	2	NA	NA	NA	NA	NA	NA	0	0	4	0	0	3	0	0	2	0	0	3
BATF3	0	0	6	0	0	7	0	0	5	0	0	6	0	0	15	0	0	9	0	0	16	0	0	12
BCKDK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	42	0	0	40	0	NA	NA	NA	NA	NA	NA
BCL2L2-PABPN1	0	41	0	0	44	0	0	33	0	0	40	0	0	46	0	0	45	0	NA	NA	NA	NA	NA	NA
BCL6B	0	0	11	0	0	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BHLHE22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1
BHLHE40	0	0	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA
BHLHE41	0	0	1	0	0	1	0	0	1	0	0	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA
BSX	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BTN2A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	52	0	0	49	0	NA	NA	NA	NA	NA	NA
CDC42EP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	54	0	0	54	0
CDH10	0	73	0	0	79	0	0	54	0	0	56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDH11	0	135	0	0	136	0	0	106	0	0	109	0	NA	NA	NA	NA	NA	NA	0	99	0	0	87	0
CDH12	0	119	0	0	124	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDH13	NA	NA	NA	NA	NA	NA	0	77	0	0	79	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDH18	0	29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDH8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	72	0	0	73	0
CDK5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	63	0	NA	NA	NA	NA	NA	NA
CDK6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	63	0	0	61	0	0	103	0	0	102	0
CDKN1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	42	0	0	41	0	0	36	0	0	32	0
CDKN1B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	74	0	0	74	0
CDKN1C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	40	0	0	40	0	NA	NA	NA	NA	NA	NA
CDKN2D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	30	0	0	19	0	0	60	0	0	64	0
CDX1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
