TG	TF	enhancer	promoter	TFbs	coef	mse	abs_coef
1	TMEM170B	MTF1	chr6:11144235-11144416	chr6:11535960-11540960	enhancer	-0.0155843970882588	0.000398294580406363	0.0155843970882588
2	TMEM170B	TAL1	chr6:11217315-11221289	chr6:11535960-11540960	enhancer	-0.0852801913571038	0.000398294580406363	0.0852801913571038
3	TMEM170B	TAL1	chr6:11524968-11527308	chr6:11535960-11540960	enhancer	-0.0852801913571038	0.000398294580406363	0.0852801913571038
4	TMEM170B	JUN	chr6:11205411-11208812	chr6:11535960-11540960	enhancer	0.0568873105673962	0.000398294580406363	0.0568873105673962
5	TMEM170B	JUN	chr6:11212580-11213758	chr6:11535960-11540960	enhancer	0.0568873105673962	0.000398294580406363	0.0568873105673962
6	TMEM170B	MEF2D	chr6:11205411-11208812	chr6:11535960-11540960	enhancer	-0.0586947358381317	0.000398294580406363	0.0586947358381317
7	TMEM170B	MEF2D	chr6:11524968-11527308	chr6:11535960-11540960	enhancer	-0.0586947358381317	0.000398294580406363	0.0586947358381317
8	TMEM170B	TBX19	chr6:11217315-11221289	chr6:11535960-11540960	enhancer	-0.0695187933285839	0.000398294580406363	0.0695187933285839
9	TMEM170B	TBX19	chr6:11524968-11527308	chr6:11535960-11540960	enhancer	-0.0695187933285839	0.000398294580406363	0.0695187933285839
10	TMEM170B	BATF3	chr6:11205411-11208812	chr6:11535960-11540960	enhancer	-0.144263883740718	0.000398294580406363	0.144263883740718
11	TMEM170B	BATF3	chr6:11217315-11221289	chr6:11535960-11540960	enhancer	-0.144263883740718	0.000398294580406363	0.144263883740718
12	TMEM170B	ZBTB18	chr6:11524968-11527308	chr6:11535960-11540960	enhancer	-0.121848144604282	0.000398294580406363	0.121848144604282
13	TMEM170B	STAT1	chr6:11144235-11144416	chr6:11535960-11540960	enhancer	-0.0223967876633476	0.000398294580406363	0.0223967876633476
14	TMEM170B	STAT1	chr6:11154407-11154851	chr6:11535960-11540960	enhancer	-0.0223967876633476	0.000398294580406363	0.0223967876633476
15	TMEM170B	STAT1	chr6:11205411-11208812	chr6:11535960-11540960	enhancer	-0.0223967876633476	0.000398294580406363	0.0223967876633476
16	TMEM170B	STAT1	chr6:11217315-11221289	chr6:11535960-11540960	enhancer	-0.0223967876633476	0.000398294580406363	0.0223967876633476
17	TMEM170B	STAT1	chr6:11524968-11527308	chr6:11535960-11540960	enhancer	-0.0223967876633476	0.000398294580406363	0.0223967876633476
18	TMEM170B	PPARG	chr6:11212580-11213758	chr6:11535960-11540960	enhancer	0.0356232853508101	0.000398294580406363	0.0356232853508101
19	TMEM170B	PPARG	chr6:11217315-11221289	chr6:11535960-11540960	enhancer	0.0356232853508101	0.000398294580406363	0.0356232853508101
