TG	TF	enhancer	promoter	TFbs	coef	mse	abs_coef
1	ABI1	HES5	chr10:27085720-27090470	chr10:27063671-27068671	promoter	1.4459103263818	0.00394124257450881	1.4459103263818
2	ABI1	MTF1	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	0.0944961595481104	0.00394124257450881	0.0944961595481104
3	ABI1	MTF1	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	0.0944961595481104	0.00394124257450881	0.0944961595481104
4	ABI1	MEF2D	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	0.0212506779602356	0.00394124257450881	0.0212506779602356
5	ABI1	MEF2D	chr10:27085720-27090470	chr10:27147517-27152517	both	0.0212506779602356	0.00394124257450881	0.0212506779602356
6	ABI1	TCF7L1	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-0.725885731037496	0.00394124257450881	0.725885731037496
7	ABI1	POU3F3	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-0.206102385646328	0.00394124257450881	0.206102385646328
8	ABI1	STAT1	chr10:27085720-27090470	chr10:27063671-27068671	both	-0.122512458981136	0.00394124257450881	0.122512458981136
9	ABI1	STAT1	chr10:27085720-27090470	chr10:27147517-27152517	both	-0.122512458981136	0.00394124257450881	0.122512458981136
10	ABI1	FOXP1	chr10:27085720-27090470	chr10:27063671-27068671	both	0.0345183791302798	0.00394124257450881	0.0345183791302798
11	ABI1	FOXP1	chr10:27085720-27090470	chr10:27147517-27152517	both	0.0345183791302798	0.00394124257450881	0.0345183791302798
12	ABI1	ZIC1	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	-0.779277281057122	0.00394124257450881	0.779277281057122
13	ABI1	ZIC1	chr10:27085720-27090470	chr10:27147517-27152517	both	-0.779277281057122	0.00394124257450881	0.779277281057122
14	ABI1	TP63	chr10:27085720-27090470	chr10:27063671-27068671	both	-0.0814510722587386	0.00394124257450881	0.0814510722587386
15	ABI1	TP63	chr10:27085720-27090470	chr10:27147517-27152517	both	-0.0814510722587386	0.00394124257450881	0.0814510722587386
16	ABI1	LEF1	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-0.435331317312018	0.00394124257450881	0.435331317312018
17	ABI1	LEF1	chr10:27085720-27090470	chr10:27147517-27152517	promoter	-0.435331317312018	0.00394124257450881	0.435331317312018
18	ABI1	NR3C2	chr10:27085720-27090470	chr10:27063671-27068671	both	0.0181753086261739	0.00394124257450881	0.0181753086261739
19	ABI1	NR3C2	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	0.0181753086261739	0.00394124257450881	0.0181753086261739
20	ABI1	IRF1	chr10:27085720-27090470	chr10:27063671-27068671	both	-0.0768607287631464	0.00394124257450881	0.0768607287631464
21	ABI1	IRF1	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	-0.0768607287631464	0.00394124257450881	0.0768607287631464
22	ABI1	EGR1	chr10:27085720-27090470	chr10:27147517-27152517	promoter	-0.530903040962363	0.00394124257450881	0.530903040962363
23	ABI1	NR3C1	chr10:27085720-27090470	chr10:27063671-27068671	both	0.0341887792000073	0.00394124257450881	0.0341887792000073
24	ABI1	NR3C1	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	0.0341887792000073	0.00394124257450881	0.0341887792000073
25	ABI1	EBF1	chr10:27085720-27090470	chr10:27063671-27068671	promoter	0.0324001639112318	0.00394124257450881	0.0324001639112318
26	ABI1	RREB1	chr10:27085720-27090470	chr10:27063671-27068671	promoter	0.940971774314863	0.00394124257450881	0.940971774314863
27	ABI1	RREB1	chr10:27085720-27090470	chr10:27147517-27152517	promoter	0.940971774314863	0.00394124257450881	0.940971774314863
28	ABI1	E2F3	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-0.0912712841249781	0.00394124257450881	0.0912712841249781
29	ABI1	E2F3	chr10:27085720-27090470	chr10:27147517-27152517	promoter	-0.0912712841249781	0.00394124257450881	0.0912712841249781
30	ABI1	SOX4	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	0.321179061783108	0.00394124257450881	0.321179061783108
31	ABI1	SOX4	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	0.321179061783108	0.00394124257450881	0.321179061783108
32	ABI1	NFYA	chr10:27085720-27090470	chr10:27063671-27068671	promoter	0.0524954467769621	0.00394124257450881	0.0524954467769621
33	ABI1	NFYA	chr10:27085720-27090470	chr10:27147517-27152517	promoter	0.0524954467769621	0.00394124257450881	0.0524954467769621
34	ABI1	SRF	chr10:27085720-27090470	chr10:27147517-27152517	promoter	-0.211946186500478	0.00394124257450881	0.211946186500478
35	ABI1	RUNX2	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	0.106704673234945	0.00394124257450881	0.106704673234945
36	ABI1	RUNX2	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	0.106704673234945	0.00394124257450881	0.106704673234945
37	ABI1	PRDM1	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-0.125974274223985	0.00394124257450881	0.125974274223985
38	ABI1	PRDM1	chr10:27085720-27090470	chr10:27147517-27152517	promoter	-0.125974274223985	0.00394124257450881	0.125974274223985
39	ABI1	ESR1	chr10:27085720-27090470	chr10:27063671-27068671	both	-0.192336609113743	0.00394124257450881	0.192336609113743
40	ABI1	ESR1	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	-0.192336609113743	0.00394124257450881	0.192336609113743
41	ABI1	SP4	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-0.140100029312153	0.00394124257450881	0.140100029312153
42	ABI1	ZNF282	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	-0.165990402279483	0.00394124257450881	0.165990402279483
43	ABI1	ZNF282	chr10:27085720-27090470	chr10:27147517-27152517	both	-0.165990402279483	0.00394124257450881	0.165990402279483
44	ABI1	ZBTB33	chr10:27085720-27090470	chr10:27147517-27152517	promoter	0.45693326550061	0.00394124257450881	0.45693326550061
45	ABI1	ELF4	chr10:27085720-27090470	chr10:27063671-27068671	promoter	0.927198176529566	0.00394124257450881	0.927198176529566
46	ABI1	PLAG1	chr10:27085720-27090470	chr10:27063671-27068671	promoter	0.252520254162608	0.00394124257450881	0.252520254162608
47	ABI1	PLAG1	chr10:27085720-27090470	chr10:27147517-27152517	promoter	0.252520254162608	0.00394124257450881	0.252520254162608
48	ABI1	GRHL2	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-0.907251739516873	0.00394124257450881	0.907251739516873
49	ABI1	HSF1	chr10:27085720-27090470	chr10:27063671-27068671	both	0.0910644780036914	0.00394124257450881	0.0910644780036914
50	ABI1	HSF1	chr10:27085720-27090470	chr10:27147517-27152517	both	0.0910644780036914	0.00394124257450881	0.0910644780036914
51	ABI1	GLIS3	chr10:27085720-27090470	chr10:27063671-27068671	promoter	0.140949589727272	0.00394124257450881	0.140949589727272
52	ABI1	PAX5	chr10:27085720-27090470	chr10:27063671-27068671	both	0.0650397453371219	0.00394124257450881	0.0650397453371219
53	ABI1	PAX5	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	0.0650397453371219	0.00394124257450881	0.0650397453371219
54	ABI1	PBX3	chr10:27085720-27090470	chr10:27063671-27068671	both	0.105802011029425	0.00394124257450881	0.105802011029425
55	ABI1	PBX3	chr10:27085720-27090470	chr10:27147517-27152517	both	0.105802011029425	0.00394124257450881	0.105802011029425
