TG	TF	enhancer	promoter	TFbs	coef	mse	abs_coef
1	TMEM170B	MTF1	chr6:11144235-11144416	chr6:11535960-11540960	enhancer	0.121108470723528	0.000532961494637028	0.121108470723528
2	TMEM170B	TAL1	chr6:11217315-11221289	chr6:11535960-11540960	enhancer	-0.0192305437069131	0.000532961494637028	0.0192305437069131
3	TMEM170B	TAL1	chr6:11524968-11527308	chr6:11535960-11540960	enhancer	-0.0192305437069131	0.000532961494637028	0.0192305437069131
4	TMEM170B	JUN	chr6:11205411-11208812	chr6:11535960-11540960	enhancer	-0.0791827009572445	0.000532961494637028	0.0791827009572445
5	TMEM170B	JUN	chr6:11212580-11213758	chr6:11535960-11540960	enhancer	-0.0791827009572445	0.000532961494637028	0.0791827009572445
6	TMEM170B	RFX5	chr6:11217315-11221289	chr6:11535960-11540960	enhancer	0.135588424975802	0.000532961494637028	0.135588424975802
7	TMEM170B	MEF2D	chr6:11205411-11208812	chr6:11535960-11540960	enhancer	0.00449774196783363	0.000532961494637028	0.00449774196783363
8	TMEM170B	MEF2D	chr6:11524968-11527308	chr6:11535960-11540960	enhancer	0.00449774196783363	0.000532961494637028	0.00449774196783363
9	TMEM170B	PBX1	chr6:11211193-11211696	chr6:11535960-11540960	enhancer	-0.112219151756216	0.000532961494637028	0.112219151756216
10	TMEM170B	NR4A2	chr6:11205411-11208812	chr6:11535960-11540960	enhancer	-0.0407928121974622	0.000532961494637028	0.0407928121974622
11	TMEM170B	NR2C2	chr6:11524968-11527308	chr6:11535960-11540960	enhancer	-0.0385532362292004	0.000532961494637028	0.0385532362292004
12	TMEM170B	MITF	chr6:11524968-11527308	chr6:11535960-11540960	enhancer	0.188564540776989	0.000532961494637028	0.188564540776989
13	TMEM170B	FOXP1	chr6:11144235-11144416	chr6:11535960-11540960	promoter	0.00965163944957745	0.000532961494637028	0.00965163944957745
14	TMEM170B	FOXP1	chr6:11154407-11154851	chr6:11535960-11540960	promoter	0.00965163944957745	0.000532961494637028	0.00965163944957745
15	TMEM170B	FOXP1	chr6:11205411-11208812	chr6:11535960-11540960	promoter	0.00965163944957745	0.000532961494637028	0.00965163944957745
16	TMEM170B	FOXP1	chr6:11211193-11211696	chr6:11535960-11540960	both	0.00965163944957745	0.000532961494637028	0.00965163944957745
17	TMEM170B	FOXP1	chr6:11212580-11213758	chr6:11535960-11540960	both	0.00965163944957745	0.000532961494637028	0.00965163944957745
18	TMEM170B	FOXP1	chr6:11217315-11221289	chr6:11535960-11540960	both	0.00965163944957745	0.000532961494637028	0.00965163944957745
19	TMEM170B	FOXP1	chr6:11524968-11527308	chr6:11535960-11540960	both	0.00965163944957745	0.000532961494637028	0.00965163944957745
20	TMEM170B	TP63	chr6:11205411-11208812	chr6:11535960-11540960	enhancer	-0.0357708920097316	0.000532961494637028	0.0357708920097316
21	TMEM170B	TP63	chr6:11217315-11221289	chr6:11535960-11540960	enhancer	-0.0357708920097316	0.000532961494637028	0.0357708920097316
22	TMEM170B	TP63	chr6:11524968-11527308	chr6:11535960-11540960	enhancer	-0.0357708920097316	0.000532961494637028	0.0357708920097316
23	TMEM170B	REST	chr6:11144235-11144416	chr6:11535960-11540960	promoter	0.0343109084093145	0.000532961494637028	0.0343109084093145
24	TMEM170B	REST	chr6:11154407-11154851	chr6:11535960-11540960	promoter	0.0343109084093145	0.000532961494637028	0.0343109084093145
25	TMEM170B	REST	chr6:11205411-11208812	chr6:11535960-11540960	both	0.0343109084093145	0.000532961494637028	0.0343109084093145
26	TMEM170B	REST	chr6:11211193-11211696	chr6:11535960-11540960	promoter	0.0343109084093145	0.000532961494637028	0.0343109084093145
27	TMEM170B	REST	chr6:11212580-11213758	chr6:11535960-11540960	promoter	0.0343109084093145	0.000532961494637028	0.0343109084093145
28	TMEM170B	REST	chr6:11217315-11221289	chr6:11535960-11540960	both	0.0343109084093145	0.000532961494637028	0.0343109084093145
29	TMEM170B	REST	chr6:11524968-11527308	chr6:11535960-11540960	both	0.0343109084093145	0.000532961494637028	0.0343109084093145
30	TMEM170B	NFKB1	chr6:11212580-11213758	chr6:11535960-11540960	enhancer	0.0918459215956886	0.000532961494637028	0.0918459215956886
31	TMEM170B	NFKB1	chr6:11524968-11527308	chr6:11535960-11540960	enhancer	0.0918459215956886	0.000532961494637028	0.0918459215956886
32	TMEM170B	IRF2	chr6:11144235-11144416	chr6:11535960-11540960	both	6.98903557567344e-05	0.000532961494637028	6.98903557567344e-05
33	TMEM170B	IRF2	chr6:11154407-11154851	chr6:11535960-11540960	promoter	6.98903557567344e-05	0.000532961494637028	6.98903557567344e-05
34	TMEM170B	IRF2	chr6:11205411-11208812	chr6:11535960-11540960	promoter	6.98903557567344e-05	0.000532961494637028	6.98903557567344e-05
35	TMEM170B	IRF2	chr6:11211193-11211696	chr6:11535960-11540960	promoter	6.98903557567344e-05	0.000532961494637028	6.98903557567344e-05
36	TMEM170B	IRF2	chr6:11212580-11213758	chr6:11535960-11540960	promoter	6.98903557567344e-05	0.000532961494637028	6.98903557567344e-05
37	TMEM170B	IRF2	chr6:11217315-11221289	chr6:11535960-11540960	both	6.98903557567344e-05	0.000532961494637028	6.98903557567344e-05
38	TMEM170B	IRF2	chr6:11524968-11527308	chr6:11535960-11540960	promoter	6.98903557567344e-05	0.000532961494637028	6.98903557567344e-05
39	TMEM170B	MEF2C	chr6:11205411-11208812	chr6:11535960-11540960	enhancer	0.0443938253602575	0.000532961494637028	0.0443938253602575
40	TMEM170B	NR2F1	chr6:11212580-11213758	chr6:11535960-11540960	enhancer	-0.00583362681958251	0.000532961494637028	0.00583362681958251
41	TMEM170B	IRF1	chr6:11144235-11144416	chr6:11535960-11540960	both	0.10186032102941	0.000532961494637028	0.10186032102941
42	TMEM170B	IRF1	chr6:11154407-11154851	chr6:11535960-11540960	promoter	0.10186032102941	0.000532961494637028	0.10186032102941
43	TMEM170B	IRF1	chr6:11205411-11208812	chr6:11535960-11540960	promoter	0.10186032102941	0.000532961494637028	0.10186032102941
44	TMEM170B	IRF1	chr6:11211193-11211696	chr6:11535960-11540960	promoter	0.10186032102941	0.000532961494637028	0.10186032102941
45	TMEM170B	IRF1	chr6:11212580-11213758	chr6:11535960-11540960	promoter	0.10186032102941	0.000532961494637028	0.10186032102941
46	TMEM170B	IRF1	chr6:11217315-11221289	chr6:11535960-11540960	both	0.10186032102941	0.000532961494637028	0.10186032102941
47	TMEM170B	IRF1	chr6:11524968-11527308	chr6:11535960-11540960	both	0.10186032102941	0.000532961494637028	0.10186032102941
48	TMEM170B	NR3C1	chr6:11144235-11144416	chr6:11535960-11540960	promoter	0.00937652353844141	0.000532961494637028	0.00937652353844141
49	TMEM170B	NR3C1	chr6:11154407-11154851	chr6:11535960-11540960	promoter	0.00937652353844141	0.000532961494637028	0.00937652353844141
50	TMEM170B	NR3C1	chr6:11205411-11208812	chr6:11535960-11540960	promoter	0.00937652353844141	0.000532961494637028	0.00937652353844141
