TG	TF	enhancer	promoter	TFbs	coef	mse	abs_coef
1	ABI1	MTF1	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	-0.150425359320757	0.00734776125203269	0.150425359320757
2	ABI1	MTF1	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	-0.150425359320757	0.00734776125203269	0.150425359320757
3	ABI1	MEF2D	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	0.191545681907547	0.00734776125203269	0.191545681907547
4	ABI1	MEF2D	chr10:27085720-27090470	chr10:27147517-27152517	both	0.191545681907547	0.00734776125203269	0.191545681907547
5	ABI1	RXRG	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	-0.445531326529001	0.00734776125203269	0.445531326529001
6	ABI1	RXRG	chr10:27085720-27090470	chr10:27147517-27152517	both	-0.445531326529001	0.00734776125203269	0.445531326529001
7	ABI1	TCF7L1	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-1.16266032534289	0.00734776125203269	1.16266032534289
8	ABI1	POU3F3	chr10:27085720-27090470	chr10:27063671-27068671	promoter	0.330648469302838	0.00734776125203269	0.330648469302838
9	ABI1	STAT1	chr10:27085720-27090470	chr10:27063671-27068671	both	0.419683293222801	0.00734776125203269	0.419683293222801
10	ABI1	STAT1	chr10:27085720-27090470	chr10:27147517-27152517	both	0.419683293222801	0.00734776125203269	0.419683293222801
11	ABI1	PPARG	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	-0.0424313811370896	0.00734776125203269	0.0424313811370896
12	ABI1	PPARG	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	-0.0424313811370896	0.00734776125203269	0.0424313811370896
13	ABI1	FOXP1	chr10:27085720-27090470	chr10:27063671-27068671	both	0.0919528263429598	0.00734776125203269	0.0919528263429598
14	ABI1	FOXP1	chr10:27085720-27090470	chr10:27147517-27152517	both	0.0919528263429598	0.00734776125203269	0.0919528263429598
15	ABI1	ZIC1	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	-1.02167271169121	0.00734776125203269	1.02167271169121
16	ABI1	ZIC1	chr10:27085720-27090470	chr10:27147517-27152517	both	-1.02167271169121	0.00734776125203269	1.02167271169121
17	ABI1	TP63	chr10:27085720-27090470	chr10:27063671-27068671	both	-0.173805174882767	0.00734776125203269	0.173805174882767
18	ABI1	TP63	chr10:27085720-27090470	chr10:27147517-27152517	both	-0.173805174882767	0.00734776125203269	0.173805174882767
19	ABI1	LEF1	chr10:27085720-27090470	chr10:27063671-27068671	promoter	0.45141094965566	0.00734776125203269	0.45141094965566
20	ABI1	LEF1	chr10:27085720-27090470	chr10:27147517-27152517	promoter	0.45141094965566	0.00734776125203269	0.45141094965566
21	ABI1	NR3C2	chr10:27085720-27090470	chr10:27063671-27068671	both	0.19627864281195	0.00734776125203269	0.19627864281195
22	ABI1	NR3C2	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	0.19627864281195	0.00734776125203269	0.19627864281195
23	ABI1	IRF2	chr10:27085720-27090470	chr10:27063671-27068671	promoter	0.289374462438039	0.00734776125203269	0.289374462438039
24	ABI1	IRF2	chr10:27085720-27090470	chr10:27147517-27152517	promoter	0.289374462438039	0.00734776125203269	0.289374462438039
25	ABI1	IRF1	chr10:27085720-27090470	chr10:27063671-27068671	both	0.467490254183237	0.00734776125203269	0.467490254183237
26	ABI1	IRF1	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	0.467490254183237	0.00734776125203269	0.467490254183237
27	ABI1	EGR1	chr10:27085720-27090470	chr10:27147517-27152517	promoter	0.057426971913048	0.00734776125203269	0.057426971913048
28	ABI1	NR3C1	chr10:27085720-27090470	chr10:27063671-27068671	both	-0.124197947816794	0.00734776125203269	0.124197947816794
29	ABI1	NR3C1	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	-0.124197947816794	0.00734776125203269	0.124197947816794
30	ABI1	EBF1	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-0.787054799314772	0.00734776125203269	0.787054799314772
31	ABI1	RREB1	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-0.222379314678196	0.00734776125203269	0.222379314678196
32	ABI1	RREB1	chr10:27085720-27090470	chr10:27147517-27152517	promoter	-0.222379314678196	0.00734776125203269	0.222379314678196
33	ABI1	E2F3	chr10:27085720-27090470	chr10:27063671-27068671	promoter	0.322637623320704	0.00734776125203269	0.322637623320704
34	ABI1	E2F3	chr10:27085720-27090470	chr10:27147517-27152517	promoter	0.322637623320704	0.00734776125203269	0.322637623320704
35	ABI1	SOX4	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	0.519803957779848	0.00734776125203269	0.519803957779848
36	ABI1	SOX4	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	0.519803957779848	0.00734776125203269	0.519803957779848
37	ABI1	NFYA	chr10:27085720-27090470	chr10:27063671-27068671	promoter	0.583394425512757	0.00734776125203269	0.583394425512757
38	ABI1	NFYA	chr10:27085720-27090470	chr10:27147517-27152517	promoter	0.583394425512757	0.00734776125203269	0.583394425512757
39	ABI1	SRF	chr10:27085720-27090470	chr10:27147517-27152517	promoter	0.450278802057955	0.00734776125203269	0.450278802057955
40	ABI1	RUNX2	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	0.176338395647532	0.00734776125203269	0.176338395647532
41	ABI1	RUNX2	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	0.176338395647532	0.00734776125203269	0.176338395647532
42	ABI1	POU3F2	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-0.0909283394271626	0.00734776125203269	0.0909283394271626
43	ABI1	PRDM1	chr10:27085720-27090470	chr10:27063671-27068671	promoter	0.201240150678316	0.00734776125203269	0.201240150678316
44	ABI1	PRDM1	chr10:27085720-27090470	chr10:27147517-27152517	promoter	0.201240150678316	0.00734776125203269	0.201240150678316
45	ABI1	HSF2	chr10:27085720-27090470	chr10:27063671-27068671	both	-0.0343563794749846	0.00734776125203269	0.0343563794749846
46	ABI1	HSF2	chr10:27085720-27090470	chr10:27147517-27152517	both	-0.0343563794749846	0.00734776125203269	0.0343563794749846
47	ABI1	ZBTB33	chr10:27085720-27090470	chr10:27147517-27152517	promoter	1.08028837929282	0.00734776125203269	1.08028837929282
48	ABI1	ELF4	chr10:27085720-27090470	chr10:27063671-27068671	promoter	2.76249928904452	0.00734776125203269	2.76249928904452
49	ABI1	PLAG1	chr10:27085720-27090470	chr10:27063671-27068671	promoter	0.399012135016473	0.00734776125203269	0.399012135016473
50	ABI1	PLAG1	chr10:27085720-27090470	chr10:27147517-27152517	promoter	0.399012135016473	0.00734776125203269	0.399012135016473
51	ABI1	GRHL2	chr10:27085720-27090470	chr10:27063671-27068671	promoter	0.82913521843604	0.00734776125203269	0.82913521843604
52	ABI1	HSF1	chr10:27085720-27090470	chr10:27063671-27068671	both	-0.0721120964662681	0.00734776125203269	0.0721120964662681
53	ABI1	HSF1	chr10:27085720-27090470	chr10:27147517-27152517	both	-0.0721120964662681	0.00734776125203269	0.0721120964662681
54	ABI1	GLIS3	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-0.149044823133969	0.00734776125203269	0.149044823133969
55	ABI1	PAX5	chr10:27085720-27090470	chr10:27063671-27068671	both	-0.757836384314698	0.00734776125203269	0.757836384314698
56	ABI1	PAX5	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	-0.757836384314698	0.00734776125203269	0.757836384314698
57	ABI1	PBX3	chr10:27085720-27090470	chr10:27063671-27068671	both	-0.0507277853296201	0.00734776125203269	0.0507277853296201
58	ABI1	PBX3	chr10:27085720-27090470	chr10:27147517-27152517	both	-0.0507277853296201	0.00734776125203269	0.0507277853296201
59	ABI1	RXRA	chr10:27085720-27090470	chr10:27063671-27068671	both	0.346093389984595	0.00734776125203269	0.346093389984595
60	ABI1	RXRA	chr10:27085720-27090470	chr10:27147517-27152517	both	0.346093389984595	0.00734776125203269	0.346093389984595
61	ABI1	IRF7	chr10:27085720-27090470	chr10:27063671-27068671	promoter	2.93925541885477	0.00734776125203269	2.93925541885477
62	ABI1	IRF7	chr10:27085720-27090470	chr10:27147517-27152517	promoter	2.93925541885477	0.00734776125203269	2.93925541885477
63	ABI1	ZNF143	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	-0.0954186671322913	0.00734776125203269	0.0954186671322913
64	ABI1	ZNF143	chr10:27085720-27090470	chr10:27147517-27152517	both	-0.0954186671322913	0.00734776125203269	0.0954186671322913
65	ABI1	CREB3L1	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	0.254745278421009	0.00734776125203269	0.254745278421009
66	ABI1	CREB3L1	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	0.254745278421009	0.00734776125203269	0.254745278421009
67	ABI1	SPI1	chr10:27085720-27090470	chr10:27147517-27152517	promoter	0.789445375381657	0.00734776125203269	0.789445375381657
68	ABI1	PKNOX2	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	0.0962046098772757	0.00734776125203269	0.0962046098772757
69	ABI1	PKNOX2	chr10:27085720-27090470	chr10:27147517-27152517	both	0.0962046098772757	0.00734776125203269	0.0962046098772757
70	ABI1	TCF7L2	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-0.385383394358739	0.00734776125203269	0.385383394358739
71	ABI1	VDR	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	0.558544376605753	0.00734776125203269	0.558544376605753
72	ABI1	VDR	chr10:27085720-27090470	chr10:27147517-27152517	both	0.558544376605753	0.00734776125203269	0.558544376605753
73	ABI1	STAT2	chr10:27085720-27090470	chr10:27063671-27068671	promoter	0.208339780430153	0.00734776125203269	0.208339780430153
74	ABI1	E2F7	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-0.133362602994838	0.00734776125203269	0.133362602994838
75	ABI1	ESR2	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	0.124809916769518	0.00734776125203269	0.124809916769518
76	ABI1	ESR2	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	0.124809916769518	0.00734776125203269	0.124809916769518
77	ABI1	ESRRB	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	-0.213633710268017	0.00734776125203269	0.213633710268017
78	ABI1	ESRRB	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	-0.213633710268017	0.00734776125203269	0.213633710268017
79	ABI1	KLF13	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	0.0320783969900445	0.00734776125203269	0.0320783969900445
80	ABI1	KLF13	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	0.0320783969900445	0.00734776125203269	0.0320783969900445
81	ABI1	MEF2A	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	-0.21302289079472	0.00734776125203269	0.21302289079472
82	ABI1	MEF2A	chr10:27085720-27090470	chr10:27147517-27152517	both	-0.21302289079472	0.00734776125203269	0.21302289079472
83	ABI1	ZNF263	chr10:27085720-27090470	chr10:27063671-27068671	both	0.226622584320985	0.00734776125203269	0.226622584320985
84	ABI1	ZNF263	chr10:27085720-27090470	chr10:27147517-27152517	both	0.226622584320985	0.00734776125203269	0.226622584320985
85	ABI1	HSF4	chr10:27085720-27090470	chr10:27063671-27068671	enhancer	0.314771551591562	0.00734776125203269	0.314771551591562
86	ABI1	HSF4	chr10:27085720-27090470	chr10:27147517-27152517	enhancer	0.314771551591562	0.00734776125203269	0.314771551591562
87	ABI1	CTCF	chr10:27085720-27090470	chr10:27063671-27068671	promoter	0.426949380846361	0.00734776125203269	0.426949380846361
88	ABI1	CTCF	chr10:27085720-27090470	chr10:27147517-27152517	promoter	0.426949380846361	0.00734776125203269	0.426949380846361
89	ABI1	TP53	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-0.2181912356613	0.00734776125203269	0.2181912356613
90	ABI1	HES7	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-0.759051484499624	0.00734776125203269	0.759051484499624
91	ABI1	HNF1B	chr10:27085720-27090470	chr10:27147517-27152517	promoter	-1.24494789301741	0.00734776125203269	1.24494789301741
92	ABI1	RARA	chr10:27085720-27090470	chr10:27063671-27068671	both	-0.539377824122752	0.00734776125203269	0.539377824122752
93	ABI1	RARA	chr10:27085720-27090470	chr10:27147517-27152517	both	-0.539377824122752	0.00734776125203269	0.539377824122752
94	ABI1	SP2	chr10:27085720-27090470	chr10:27063671-27068671	promoter	-0.794907020105144	0.00734776125203269	0.794907020105144
