TG	TF	enhancer	promoter	TFbs	coef	mse	abs_coef
1	ZSCAN30	JUN	chr18:32454954-32455581	chr18:32867697-32872697	promoter	0.0465306403059646	0.000452683681429952	0.0465306403059646
2	ZSCAN30	JUN	chr18:32454954-32455581	chr18:32867666-32872666	promoter	0.0465306403059646	0.000452683681429952	0.0465306403059646
3	ZSCAN30	RORC	chr18:32454954-32455581	chr18:32867697-32872697	enhancer	-0.0565284657690339	0.000452683681429952	0.0565284657690339
4	ZSCAN30	RORC	chr18:32454954-32455581	chr18:32867666-32872666	enhancer	-0.0565284657690339	0.000452683681429952	0.0565284657690339
5	ZSCAN30	PBX1	chr18:32454954-32455581	chr18:32867697-32872697	enhancer	0.00656240192950565	0.000452683681429952	0.00656240192950565
6	ZSCAN30	PBX1	chr18:32454954-32455581	chr18:32867666-32872666	enhancer	0.00656240192950565	0.000452683681429952	0.00656240192950565
7	ZSCAN30	RXRG	chr18:32454954-32455581	chr18:32867697-32872697	promoter	-0.312010493133778	0.000452683681429952	0.312010493133778
8	ZSCAN30	RXRG	chr18:32454954-32455581	chr18:32867666-32872666	promoter	-0.312010493133778	0.000452683681429952	0.312010493133778
9	ZSCAN30	FOSL2	chr18:32454954-32455581	chr18:32867697-32872697	promoter	-0.0199189677042383	0.000452683681429952	0.0199189677042383
10	ZSCAN30	FOSL2	chr18:32454954-32455581	chr18:32867666-32872666	promoter	-0.0199189677042383	0.000452683681429952	0.0199189677042383
11	ZSCAN30	TCF7L1	chr18:32454954-32455581	chr18:32867697-32872697	enhancer	-0.0134658863425223	0.000452683681429952	0.0134658863425223
12	ZSCAN30	TCF7L1	chr18:32454954-32455581	chr18:32867666-32872666	enhancer	-0.0134658863425223	0.000452683681429952	0.0134658863425223
13	ZSCAN30	STAT1	chr18:32454954-32455581	chr18:32867697-32872697	promoter	0.0417572261943521	0.000452683681429952	0.0417572261943521
14	ZSCAN30	STAT1	chr18:32454954-32455581	chr18:32867666-32872666	promoter	0.0417572261943521	0.000452683681429952	0.0417572261943521
15	ZSCAN30	PPARG	chr18:32454954-32455581	chr18:32867697-32872697	enhancer	0.0705924269964956	0.000452683681429952	0.0705924269964956
16	ZSCAN30	PPARG	chr18:32454954-32455581	chr18:32867666-32872666	enhancer	0.0705924269964956	0.000452683681429952	0.0705924269964956
17	ZSCAN30	NR2C2	chr18:32454954-32455581	chr18:32867697-32872697	promoter	0.0127962571175049	0.000452683681429952	0.0127962571175049
18	ZSCAN30	NR2C2	chr18:32454954-32455581	chr18:32867666-32872666	promoter	0.0127962571175049	0.000452683681429952	0.0127962571175049
19	ZSCAN30	MITF	chr18:32454954-32455581	chr18:32867697-32872697	promoter	-0.0112604411227597	0.000452683681429952	0.0112604411227597
20	ZSCAN30	MITF	chr18:32454954-32455581	chr18:32867666-32872666	promoter	-0.0112604411227597	0.000452683681429952	0.0112604411227597
21	ZSCAN30	ETV5	chr18:32454954-32455581	chr18:32867697-32872697	enhancer	-0.0653757745566665	0.000452683681429952	0.0653757745566665
22	ZSCAN30	ETV5	chr18:32454954-32455581	chr18:32867666-32872666	enhancer	-0.0653757745566665	0.000452683681429952	0.0653757745566665
23	ZSCAN30	RBPJ	chr18:32454954-32455581	chr18:32867697-32872697	enhancer	0.0107418145946095	0.000452683681429952	0.0107418145946095
24	ZSCAN30	RBPJ	chr18:32454954-32455581	chr18:32867666-32872666	enhancer	0.0107418145946095	0.000452683681429952	0.0107418145946095
25	ZSCAN30	REST	chr18:32454954-32455581	chr18:32867697-32872697	promoter	0.0281739100306133	0.000452683681429952	0.0281739100306133
26	ZSCAN30	REST	chr18:32454954-32455581	chr18:32867666-32872666	promoter	0.0281739100306133	0.000452683681429952	0.0281739100306133
27	ZSCAN30	MEF2C	chr18:32454954-32455581	chr18:32867697-32872697	promoter	-0.0669850244463547	0.000452683681429952	0.0669850244463547
28	ZSCAN30	MEF2C	chr18:32454954-32455581	chr18:32867666-32872666	promoter	-0.0669850244463547	0.000452683681429952	0.0669850244463547
29	ZSCAN30	NR2F1	chr18:32454954-32455581	chr18:32867697-32872697	enhancer	-0.090643048457706	0.000452683681429952	0.090643048457706
30	ZSCAN30	NR2F1	chr18:32454954-32455581	chr18:32867666-32872666	enhancer	-0.090643048457706	0.000452683681429952	0.090643048457706
31	ZSCAN30	IRF1	chr18:32454954-32455581	chr18:32867697-32872697	both	0.0866640410155395	0.000452683681429952	0.0866640410155395
32	ZSCAN30	IRF1	chr18:32454954-32455581	chr18:32867666-32872666	both	0.0866640410155395	0.000452683681429952	0.0866640410155395
33	ZSCAN30	EGR1	chr18:32454954-32455581	chr18:32867697-32872697	promoter	-0.0552871970033445	0.000452683681429952	0.0552871970033445
34	ZSCAN30	EGR1	chr18:32454954-32455581	chr18:32867666-32872666	promoter	-0.0552871970033445	0.000452683681429952	0.0552871970033445
35	ZSCAN30	NR3C1	chr18:32454954-32455581	chr18:32867697-32872697	promoter	0.0371390493585149	0.000452683681429952	0.0371390493585149
36	ZSCAN30	NR3C1	chr18:32454954-32455581	chr18:32867666-32872666	promoter	0.0371390493585149	0.000452683681429952	0.0371390493585149
37	ZSCAN30	RREB1	chr18:32454954-32455581	chr18:32867697-32872697	both	-0.0916057784786946	0.000452683681429952	0.0916057784786946
38	ZSCAN30	RREB1	chr18:32454954-32455581	chr18:32867666-32872666	both	-0.0916057784786946	0.000452683681429952	0.0916057784786946
39	ZSCAN30	NFYA	chr18:32454954-32455581	chr18:32867697-32872697	promoter	-0.00498549547339275	0.000452683681429952	0.00498549547339275
40	ZSCAN30	NFYA	chr18:32454954-32455581	chr18:32867666-32872666	promoter	-0.00498549547339275	0.000452683681429952	0.00498549547339275
41	ZSCAN30	SRF	chr18:32454954-32455581	chr18:32867697-32872697	promoter	-0.141096827932375	0.000452683681429952	0.141096827932375
